Lintang,Bujur,Kedalaman(KM),Timestamp,Kelas
-0.33,123.73,112,1514742752.0,5
3.97,126.72,10,1515221574.0,5
0.77,125.37,53,1515227985.0,5
4.17,126.72,47,1515238511.0,5
2.83,126.81,50,1515395389.0,5
0.51,123.64,242,1515972711.0,5
-6.41,132.72,62,1516272520.0,5
-7.13,106.04,46,1516664094.0,5
-3.2,130.59,13,1516703910.0,5
-4.71,102.73,58,1516729214.0,5
2.54,95.46,37,1516751827.0,5
-7.19,106.05,30,1516916905.0,5
-7.19,106.04,30,1516936370.0,5
-1.13,126.86,21,1516938227.0,5
-2.78,139.52,82,1517217952.0,5
-7.9,118.81,26,1517338833.0,5
-0.16,125.2,58,1517505642.0,5
-5.25,133.96,27,1517525013.0,5
-9.09,122.49,136,1517748905.0,5
4.68,96.23,10,1518058368.0,5
-9.13,117.15,92,1518197479.0,5
2.13,128.38,78,1518307524.0,5
-6.02,133.72,26,1518541531.0,5
-4.04,129.53,44,1518745221.0,5
-7.84,106.48,46,1518762489.0,5
-4.91,130.49,130,1518904042.0,5
-6.03,100.89,10,1518912283.0,5
-4.75,132.39,64,1519011517.0,5
1.48,124.39,222,1519093767.0,5
-0.71,127.2,60,1519146252.0,5
-3.17,130.75,24,1519258769.0,5
-3.18,130.77,17,1519258901.0,5
-3.05,86.41,10,1519429874.0,5
2.03,98.91,10,1519441354.0,5
2.56,96.02,30,1519556861.0,5
-10.37,138.31,13,1519594665.0,5
-2.72,126.79,28,1519626895.0,5
-0.16,125.2,58,1517505642.0,5
-5.25,133.96,27,1517525013.0,5
-9.09,122.49,136,1517748905.0,5
4.68,96.23,10,1518058368.0,5
-9.13,117.15,92,1518197479.0,5
2.13,128.38,78,1518307524.0,5
-6.02,133.72,26,1518541531.0,5
-4.04,129.53,44,1518745221.0,5
-7.84,106.48,46,1518762489.0,5
-4.91,130.49,130,1518904042.0,5
-6.03,100.89,10,1518912283.0,5
-4.75,132.39,64,1519011517.0,5
1.48,124.39,222,1519093767.0,5
-0.71,127.2,60,1519146252.0,5
-3.17,130.75,24,1519258769.0,5
-3.18,130.77,17,1519258901.0,5
-3.05,86.41,10,1519429874.0,5
2.03,98.91,10,1519441354.0,5
2.56,96.02,30,1519556861.0,5
-10.37,138.31,13,1519594665.0,5
-2.72,126.79,28,1519626895.0,5
-0.16,125.2,58,1517505642.0,5
-5.25,133.96,27,1517525013.0,5
-9.09,122.49,136,1517748905.0,5
4.68,96.23,10,1518058368.0,5
-9.13,117.15,92,1518197479.0,5
2.13,128.38,78,1518307524.0,5
-6.02,133.72,26,1518541531.0,5
-4.04,129.53,44,1518745221.0,5
-7.84,106.48,46,1518762489.0,5
-4.91,130.49,130,1518904042.0,5
