Lintang,Bujur,Kelas
-11.65,117.61,3
-0.33,123.73,5
-1.4,120.47,1
-9.42,117.9,1
1.42,122.04,1
-6.11,130.34,3
-3.24,128.84,2
-0.24,123.07,1
2.31,97.06,1
0.19,121.95,1
-6.46,101.7,4
-4.41,102.14,4
-0.23,122.94,1
0.59,122.34,1
-0.72,131.12,1
-0.28,125.35,3
-3.51,119.1,1
-6.9,106.83,1
-9.48,118.11,1
-7.66,119.28,2
-9.82,124.25,1
-7.96,116.84,4
-8.49,121.3,4
0.27,121.83,1
1.01,132.52,1
-8.3,123.53,1
-0.2,125.41,1
-0.01,122.55,1
-9.62,115.48,1
-7.31,128.29,3
-8.29,119.99,2
4.56,124.45,2
-9.98,124.96,1
0.29,122.48,1
1.4,99.7,3
-9.32,122.43,1
3.72,126.58,2
-6.52,129.86,3
-8.74,118.35,1
-8.68,118.36,1
2.34,98.93,1
-8.29,115.5,1
-2.93,127.78,2
-0.02,123.52,4
0.74,120.3,1
-0.15,123.55,1
-7.02,107.77,1
-7.62,128.39,3
-5.27,104.51,1
-3.02,127.74,1
-11.59,117.64,3
2.88,124.36,2
-7.47,106.66,1
2.36,127.24,2
-9.96,116.59,2
-0.72,131.45,1
-3.22,128.16,1
-8.88,124.0,1
1.45,124.61,2
0.34,121.88,1
-7.36,106.84,1
-8.22,110.61,1
-7.9,119.27,1
-9.39,118.64,1
-8.89,116.87,2
-8.88,116.89,1
4.49,127.0,4
1.15,121.77,1
-9.37,115.32,1
-8.73,110.27,1
-7.84,118.97,1
0.26,122.48,1
3.93,126.64,2
-11.31,117.97,1
-5.69,103.45,3
-2.39,121.06,1
-5.93,104.67,1
-6.35,128.11,2
-10.36,109.91,3
0.38,121.74,1
-0.1,124.58,3
3.73,126.7,3
-3.45,135.46,4
1.16,125.47,2
2.0,121.14,4
-9.51,113.46,2
-9.35,113.5,2
-8.23,120.03,1
-3.02,102.99,3
-2.69,119.16,1
-9.39,117.19,1
0.97,127.12,3
1.58,122.94,1
-2.76,129.51,1
-5.96,102.46,4
-8.79,117.0,1
-8.84,123.01,4
-9.86,124.19,1
-8.79,116.91,2
-1.22,101.02,4
-7.35,120.36,3
3.7,126.69,3
-6.51,130.07,3
-6.65,104.91,1
-9.53,118.04,2
-4.3,126.11,2
-8.65,124.47,1
-0.43,123.09,1
-9.91,118.89,1
-8.39,121.35,1
0.05,97.99,3
-0.19,97.71,2
-9.73,118.58,2
0.11,122.54,1
4.24,126.7,3
0.66,120.61,1
-7.61,119.32,2
-1.2,120.41,3
0.17,119.99,1
-0.88,121.79,1
0.86,121.49,1
-9.21,116.37,1
-10.01,114.1,3
-1.27,119.96,1
-1.26,120.66,1
-0.89,131.15,1
-2.81,128.12,3
-1.09,100.43,2
-0.02,122.93,3
0.0,97.98,1
0.34,123.41,1
-8.8,111.07,2
0.74,127.43,1
-8.95,110.41,2
0.58,122.1,1
0.3,98.59,4
-8.43,107.57,2
0.34,122.77,1
-7.44,129.34,4
3.97,126.72,5
1.16,126.43,1
0.82,127.41,2
1.1,100.08,2
0.77,125.37,5
1.21,122.0,2
-9.3,123.78,1
-9.69,105.77,2
4.35,126.82,2
4.02,126.66,2
4.35,126.99,3
4.03,126.86,3
4.24,126.78,3
4.17,126.72,5
-8.32,119.66,1
-8.07,118.04,1
4.61,126.9,4
-8.12,121.69,3
-9.59,117.34,1
-0.91,131.15,1
-9.9,118.83,1
-4.27,134.24,4
-1.39,120.34,1
-4.61,129.49,2
4.11,126.69,3
-5.71,129.31,3
2.46,96.07,1
0.93,121.83,1
4.25,126.71,3
0.13,122.35,1
-8.61,118.31,1
-0.99,131.19,1
-1.42,120.41,1
4.09,126.6,3
-7.92,117.3,1
-3.51,131.37,1
-3.44,131.35,1
0.1,121.94,1
-1.35,120.4,1
1.81,122.34,1
-6.73,104.86,2
0.1,98.77,1
1.8,96.95,3
-8.24,117.56,1
-3.39,131.25,2
4.28,94.89,4
-8.59,119.03,1
-9.95,124.2,1
0.47,121.64,1
-6.51,104.77,2
0.33,122.78,1
-0.11,132.73,2
-8.99,114.96,1
0.44,121.29,3
-3.29,131.2,3
-8.69,118.35,1
-2.96,118.62,1
-8.46,108.44,2
-0.8,130.99,1
-9.08,121.99,1
-3.4,131.15,1
1.91,123.9,3
-9.58,117.51,2
-3.66,138.37,3
3.24,128.18,3
0.05,122.23,1
0.52,121.17,1
0.86,122.63,1
-7.91,118.75,1
0.9,122.71,1
2.83,126.81,5
-1.28,120.42,1
2.55,95.78,4
1.02,121.05,1
-2.31,128.11,2
-6.88,129.83,4
0.61,122.3,1
0.59,121.87,1
1.87,121.86,1
-0.3,124.84,2
-9.23,114.54,1
1.27,121.34,1
-5.46,103.46,1
-3.87,133.77,3
-2.45,120.96,1
-3.56,131.42,3
-5.79,131.04,3
-10.42,112.26,3
